 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          7          3.1195134        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          7          3.1195134        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          7          3.1195134        1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          7          3.1195134        1          1          1          2          14         0.52631579       44.999999        0.45             9.9999997e-05    1.09384e-05      0.0109384       
 1          7          3.1195134        1          1          1          2          15         0.52631569       44.999982        0.44999989       9.9999891e-05    1.0925822e-05    0.010925822     
 1          7          3.1195134        1          1          1          2          16         0.52631264       44.999452        0.44999671       9.9996613e-05    1.0913321e-05    0.010913321     
 1          7          3.1195134        1          1          1          2          17         0.52623041       44.985118        0.44991076       9.9908098e-05    1.0902162e-05    0.010902162     
 1          7          3.1195134        1          1          1          2          18         0.52440023       44.665593        0.44799093       9.7949695e-05    1.0920099e-05    0.010920099     
 1          7          3.1195134        1          1          1          2          19         0.48906023       38.4386          0.40810218       6.4402256e-05    1.1540099e-05    0.011540099     
 1          8          3.6586271        1          1          1          2          1          0.48442673       37.767917        0.40244073       6.0594285e-05    1.187352e-05     0.01187352      
 1          8          3.6586271        1          1          1          2          2          0.52392313       44.589922        0.44748826       9.7442796e-05    1.1132147e-05    0.011132147     
 1          8          3.6586271        1          1          1          2          3          0.52619594       44.979445        0.44987473       9.987101e-05     1.1080735e-05    0.011080735     
 1          8          3.6586271        1          1          1          2          4          0.52631087       44.999155        0.44999485       9.9994699e-05    1.1065896e-05    0.011065896     
 1          8          3.6586271        1          1          1          2          5          0.52631561       44.99997         0.44999982       9.9999811e-05    1.1052941e-05    0.011052941     
 1          8          3.6586271        1          1          1          2          6          0.52631578       44.999999        0.44999999       9.9999994e-05    1.1040094e-05    0.011040094     
 1          8          3.6586271        1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027279e-05    0.011027279     
 1          8          3.6586271        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014494e-05    0.011014494     
 1          8          3.6586271        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          8          3.6586271        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
 1          8          3.6586271        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          8          3.6586271        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963648e-05    0.010963648     
 1          8          3.6586271        1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          8          3.6586271        1          1          1          2          14         0.52631578       44.999999        0.44999999       9.9999993e-05    1.09384e-05      0.0109384       
 1          8          3.6586271        1          1          1          2          15         0.5263156        44.999967        0.4499998        9.9999799e-05    1.0925823e-05    0.010925823     
 1          8          3.6586271        1          1          1          2          16         0.52631061       44.999098        0.44999459       9.9994424e-05    1.0913355e-05    0.010913355     
 1          8          3.6586271        1          1          1          2          17         0.52619168       44.978367        0.44987027       9.9866425e-05    1.0902805e-05    0.010902805     
 1          8          3.6586271        1          1          1          2          18         0.52388121       44.57494         0.44744404       9.7398328e-05    1.0928769e-05    0.010928769     
 1          8          3.6586271        1          1          1          2          19         0.48453785       37.635925        0.40257776       6.068403e-05     1.1627861e-05    0.011627861     
 1          9          4.2246966        1          1          1          2          1          0.48005513       37.006613        0.39699909       5.7124237e-05    1.1961668e-05    0.011961668     
 1          9          4.2246966        1          1          1          2          2          0.52335996       44.493342        0.44689371       9.6846379e-05    1.1141733e-05    0.011141733     
 1          9          4.2246966        1          1          1          2          3          0.5261482        44.971258        0.44982481       9.9819656e-05    1.1081539e-05    0.011081539     
 1          9          4.2246966        1          1          1          2          4          0.52630806       44.998672        0.44999192       9.9991675e-05    1.1065943e-05    0.011065943     
 1          9          4.2246966        1          1          1          2          5          0.52631548       44.999947        0.44999968       9.9999669e-05    1.1052944e-05    0.011052944     
 1          9          4.2246966        1          1          1          2          6          0.52631578       44.999998        0.44999999       9.9999988e-05    1.1040094e-05    0.011040094     
 1          9          4.2246966        1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027279e-05    0.011027279     
 1          9          4.2246966        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014494e-05    0.011014494     
 1          9          4.2246966        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          9          4.2246966        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
 1          9          4.2246966        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          9          4.2246966        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963648e-05    0.010963648     
 1          9          4.2246966        1          1          1          2          13         0.52631579       45               0.45             0.0001           1.095101e-05     0.01095101      
 1          9          4.2246966        1          1          1          2          14         0.52631578       44.999998        0.44999999       9.9999987e-05    1.0938401e-05    0.010938401     
 1          9          4.2246966        1          1          1          2          15         0.52631546       44.999943        0.44999966       9.9999648e-05    1.0925826e-05    0.010925826     
 1          9          4.2246966        1          1          1          2          16         0.52630766       44.998584        0.4499915        9.9991246e-05    1.0913404e-05    0.010913404     
 1          9          4.2246966        1          1          1          2          17         0.52614232       44.969762        0.44981866       9.9813327e-05    1.0903624e-05    0.010903624     
 1          9          4.2246966        1          1          1          2          18         0.52330905       44.474984        0.4468399        9.6792563e-05    1.0938347e-05    0.010938347     
 1          9          4.2246966        1          1          1          2          19         0.48018871       36.862727        0.39716683       5.7228514e-05    1.1713855e-05    0.011713855     
 1          10         4.8190695        1          1          1          2          1          0.47584774       36.272728        0.39166741       5.3896181e-05    1.2048066e-05    0.012048066     
 1          10         4.8190695        1          1          1          2          2          0.52274717       44.388228        0.44624534       9.6199789e-05    1.1152187e-05    0.011152187     
 1          10         4.8190695        1          1          1          2          3          0.52608877       44.961065        0.44976267       9.9755749e-05    1.108254e-05     0.01108254      
 1          10         4.8190695        1          1          1          2          4          0.52630411       44.997994        0.44998779       9.9987423e-05    1.106601e-05     0.01106601      
 1          10         4.8190695        1          1          1          2          5          0.52631528       44.999912        0.44999946       9.9999447e-05    1.1052947e-05    0.011052947     
 1          10         4.8190695        1          1          1          2          6          0.52631577       44.999997        0.44999998       9.9999978e-05    1.1040094e-05    0.011040094     
 1          10         4.8190695        1          1          1          2          7          0.52631579       45               0.45             9.9999999e-05    1.1027279e-05    0.011027279     
 1          10         4.8190695        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014494e-05    0.011014494     
 1          10         4.8190695        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          10         4.8190695        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
 1          10         4.8190695        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          10         4.8190695        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963648e-05    0.010963648     
 1          10         4.8190695        1          1          1          2          13         0.52631579       45               0.45             9.9999999e-05    1.095101e-05     0.01095101      
 1          10         4.8190695        1          1          1          2          14         0.52631577       44.999996        0.44999998       9.9999977e-05    1.0938401e-05    0.010938401     
 1          10         4.8190695        1          1          1          2          15         0.52631524       44.999905        0.44999943       9.999941e-05     1.092583e-05     0.01092583      
 1          10         4.8190695        1          1          1          2          16         0.52630351       44.997862        0.44998717       9.9986782e-05    1.0913473e-05    0.010913473     
 1          10         4.8190695        1          1          1          2          17         0.5260809        44.959057        0.44975443       9.9747286e-05    1.0904644e-05    0.010904644     
 1          10         4.8190695        1          1          1          2          18         0.52268672       44.366238        0.44618129       9.6136135e-05    1.094879e-05     0.01094879      
 1          10         4.8190695        1          1          1          2          19         0.47600483       36.117727        0.39186818       5.4014753e-05    1.1798098e-05    0.011798098     
 1          11         5.443161         1          1          1          2          1          0.47179709       35.565091        0.38644453       5.0891078e-05    1.2132728e-05    0.012132728     
 1          11         5.443161         1          1          1          2          2          0.52208773       44.275083        0.44554589       9.5506726e-05    1.1163465e-05    0.011163465     
 1          11         5.443161         1          1          1          2          3          0.52601626       44.948627        0.44968681       9.96778e-05      1.1083761e-05    0.011083761     
 1          11         5.443161         1          1          1          2          4          0.5262987        44.997066        0.44998214       9.9981604e-05    1.1066101e-05    0.011066101     
 1          11         5.443161         1          1          1          2          5          0.52631496       44.999858        0.44999913       9.9999108e-05    1.1052953e-05    0.011052953     
